Mining_date,Job_Title,Company,location,Posting_date,Description,Sector
2023-08-28,Director of Agricultural Operations,Jobot,"Hanford, CA",11 days ago,"$115,000–$165,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Mechanic,Jobot,"Glencoe, MN",29 days ago,$28–$30                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Agriculture Mechanic,"Pape' Machinery, Inc","Medford, OR",20 days ago,Actively Hiring,farming-jobs
2023-08-28,Sr. Project Manager- Agriculture/Farming (Hybrid),Jobot,"Madison, WI",22 days ago,"$100,000–$150,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Shop Mechanic,"Pape' Machinery, Inc","Medford, OR",20 days ago,Actively Hiring,farming-jobs
2023-08-28,Agriculture Equipment Mechanic,"Pape' Machinery, Inc","Merrill, OR",9 days ago,Actively Hiring,farming-jobs
2023-08-28,Technical Sales Representative - Agriculture,Chemtall/ SNF Holding,"Riceboro, GA",11 days ago,Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Agriculture Applicator,Express Employment Professionals,"GRAND FORKS, ND",11 days ago,Actively Hiring,farming-jobs
2023-08-28,Diesel Technician- Agriculture,Wright Implement Company,"Shelbyville, KY",10 days ago,Actively Hiring,farming-jobs
2023-08-28,Director of Agricultural Operations,Jobot,"Hanford, CA",11 days ago,"$115,000–$165,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Mechanic,Jobot,"Glencoe, MN",29 days ago,$28–$30                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Agriculture Mechanic,"Pape' Machinery, Inc","Medford, OR",20 days ago,Actively Hiring,farming-jobs
2023-08-28,Sr. Project Manager- Agriculture/Farming (Hybrid),Jobot,"Madison, WI",22 days ago,"$100,000–$150,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Shop Mechanic,"Pape' Machinery, Inc","Medford, OR",20 days ago,Actively Hiring,farming-jobs
2023-08-28,Agriculture Equipment Mechanic,"Pape' Machinery, Inc","Merrill, OR",9 days ago,Actively Hiring,farming-jobs
2023-08-28,Technical Sales Representative - Agriculture,Chemtall/ SNF Holding,"Riceboro, GA",11 days ago,Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Agriculture Applicator,Express Employment Professionals,"GRAND FORKS, ND",11 days ago,Actively Hiring,farming-jobs
2023-08-28,Diesel Technician- Agriculture,Wright Implement Company,"Shelbyville, KY",10 days ago,Actively Hiring,farming-jobs
2023-08-28,Director of Agricultural Operations,Jobot,"Hanford, CA",11 days ago,"$115,000–$165,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Mechanic,Jobot,"Glencoe, MN",29 days ago,$28–$30                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Agriculture Mechanic,"Pape' Machinery, Inc","Medford, OR",20 days ago,Actively Hiring,farming-jobs
2023-08-28,Sr. Project Manager- Agriculture/Farming (Hybrid),Jobot,"Madison, WI",22 days ago,"$100,000–$150,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Shop Mechanic,"Pape' Machinery, Inc","Medford, OR",20 days ago,Actively Hiring,farming-jobs
2023-08-28,Agriculture Equipment Mechanic,"Pape' Machinery, Inc","Merrill, OR",9 days ago,Actively Hiring,farming-jobs
2023-08-28,Technical Sales Representative - Agriculture,Chemtall/ SNF Holding,"Riceboro, GA",11 days ago,Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Agriculture Applicator,Express Employment Professionals,"GRAND FORKS, ND",11 days ago,Actively Hiring,farming-jobs
2023-08-28,Diesel Technician- Agriculture,Wright Implement Company,"Corydon, IN",10 days ago,Actively Hiring,farming-jobs
2023-08-28,Director of Agricultural Operations,Jobot,"Hanford, CA",11 days ago,"$115,000–$165,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Mechanic,Jobot,"Waconia, MN",29 days ago,$28–$30                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Sr. Project Manager- Agriculture/Farming (Hybrid),Jobot,"Waukesha, WI",22 days ago,"$100,000–$150,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Mechanic,"Pape' Machinery, Inc","Madras, OR",25 days ago,Actively Hiring,farming-jobs
2023-08-28,Agriculture Shop Mechanic,"Pape' Machinery, Inc","Medford, OR",20 days ago,Actively Hiring,farming-jobs
2023-08-28,Agriculture Equipment Mechanic,"Pape' Machinery, Inc","Merrill, OR",9 days ago,Actively Hiring,farming-jobs
2023-08-28,Technical Sales Representative - Agriculture,Chemtall/ SNF Holding,"Riceboro, GA",11 days ago,Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Agriculture Applicator,Express Employment Professionals,"GRAND FORKS, ND",11 days ago,Actively Hiring,farming-jobs
2023-08-28,Diesel Technician- Agriculture,Wright Implement Company,"Corydon, IN",10 days ago,Actively Hiring,farming-jobs
2023-08-28,Director of Agricultural Operations,Jobot,"Hanford, CA",11 days ago,"$115,000–$165,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Mechanic,Jobot,"Waconia, MN",29 days ago,$28–$30                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Sr. Project Manager- Agriculture/Farming (Hybrid),Jobot,"Waukesha, WI",22 days ago,"$100,000–$150,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Mechanic,"Pape' Machinery, Inc","Madras, OR",25 days ago,Actively Hiring,farming-jobs
2023-08-28,Agriculture Shop Mechanic,"Pape' Machinery, Inc","Medford, OR",20 days ago,Actively Hiring,farming-jobs
2023-08-28,Agriculture Equipment Mechanic,"Pape' Machinery, Inc","Merrill, OR",9 days ago,Actively Hiring,farming-jobs
2023-08-28,Technical Sales Representative - Agriculture,Chemtall/ SNF Holding,"Riceboro, GA",11 days ago,Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Agriculture Applicator,Express Employment Professionals,"GRAND FORKS, ND",11 days ago,Actively Hiring,farming-jobs
2023-08-28,Diesel Technician- Agriculture,Wright Implement Company,"Shelbyville, KY",10 days ago,Actively Hiring,farming-jobs
2023-08-28,Director of Agricultural Operations,Jobot,"Hanford, CA",11 days ago,"$115,000–$165,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Mechanic,Jobot,"Glencoe, MN",29 days ago,$28–$30                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Agriculture Mechanic,"Pape' Machinery, Inc","Medford, OR",20 days ago,Actively Hiring,farming-jobs
2023-08-28,Sr. Project Manager- Agriculture/Farming (Hybrid),Jobot,"Madison, WI",22 days ago,"$100,000–$150,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Shop Mechanic,"Pape' Machinery, Inc","Medford, OR",20 days ago,Actively Hiring,farming-jobs
2023-08-28,Agriculture Equipment Mechanic,"Pape' Machinery, Inc","Merrill, OR",9 days ago,Actively Hiring,farming-jobs
2023-08-28,Agriculture Applicator,Express Employment Professionals,"GRAND FORKS, ND",11 days ago,Actively Hiring,farming-jobs
2023-08-28,Technical Sales Representative - Agriculture,Chemtall/ SNF Holding,"Riceboro, GA",11 days ago,Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Diesel Technician- Agriculture,Wright Implement Company,"Corydon, IN",10 days ago,Actively Hiring,farming-jobs
2023-08-28,Director of Agricultural Operations,Jobot,"Hanford, CA",11 days ago,"$115,000–$165,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Mechanic,Jobot,"Waconia, MN",29 days ago,$28–$30                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Sr. Project Manager- Agriculture/Farming (Hybrid),Jobot,"Waukesha, WI",22 days ago,"$100,000–$150,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Mechanic,"Pape' Machinery, Inc","Madras, OR",25 days ago,Actively Hiring,farming-jobs
2023-08-28,Agriculture Shop Mechanic,"Pape' Machinery, Inc","Medford, OR",20 days ago,Actively Hiring,farming-jobs
2023-08-28,"Audit Senior - Oil & Gas, Agriculture, Manufacturing",Jobot,"Houston, TX",2 days ago,"$80,000–$120,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Technical Sales Representative - Agriculture,Chemtall/ SNF Holding,"Riceboro, GA",11 days ago,Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Agriculture Applicator,Express Employment Professionals,"GRAND FORKS, ND",11 days ago,Actively Hiring,farming-jobs
2023-08-28,Diesel Technician- Agriculture,Wright Implement Company,"Corydon, IN",10 days ago,Actively Hiring,farming-jobs
2023-08-28,Director of Agricultural Operations,Jobot,"Hanford, CA",11 days ago,"$115,000–$165,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Mechanic,Jobot,"Waconia, MN",29 days ago,$28–$30                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Sr. Project Manager- Agriculture/Farming (Hybrid),Jobot,"Waukesha, WI",22 days ago,"$100,000–$150,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Mechanic,"Pape' Machinery, Inc","Madras, OR",25 days ago,Actively Hiring,farming-jobs
2023-08-28,Agriculture Shop Mechanic,"Pape' Machinery, Inc","Medford, OR",20 days ago,Actively Hiring,farming-jobs
2023-08-28,Agriculture Equipment Mechanic,"Pape' Machinery, Inc","Merrill, OR",9 days ago,Actively Hiring,farming-jobs
2023-08-28,Technical Sales Representative - Agriculture,Chemtall/ SNF Holding,"Riceboro, GA",11 days ago,Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Agriculture Applicator,Express Employment Professionals,"GRAND FORKS, ND",11 days ago,Actively Hiring,farming-jobs
2023-08-28,Diesel Technician- Agriculture,Wright Implement Company,"Corydon, IN",10 days ago,Actively Hiring,farming-jobs
2023-08-28,Director of Agricultural Operations,Jobot,"Hanford, CA",11 days ago,"$115,000–$165,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Mechanic,Jobot,"Waconia, MN",29 days ago,$28–$30                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Sr. Project Manager- Agriculture/Farming (Hybrid),Jobot,"Waukesha, WI",22 days ago,"$100,000–$150,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Mechanic,"Pape' Machinery, Inc","Madras, OR",25 days ago,Actively Hiring,farming-jobs
2023-08-28,Agriculture Shop Mechanic,"Pape' Machinery, Inc","Medford, OR",20 days ago,Actively Hiring,farming-jobs
2023-08-28,Agriculture Equipment Mechanic,"Pape' Machinery, Inc","Merrill, OR",9 days ago,Actively Hiring,farming-jobs
2023-08-28,Technical Sales Representative - Agriculture,Chemtall/ SNF Holding,"Riceboro, GA",11 days ago,Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Agriculture Applicator,Express Employment Professionals,"GRAND FORKS, ND",11 days ago,Actively Hiring,farming-jobs
2023-08-28,Diesel Technician- Agriculture,Wright Implement Company,"Corydon, IN",10 days ago,Actively Hiring,farming-jobs
2023-08-28,Director of Agricultural Operations,Jobot,"Hanford, CA",11 days ago,"$115,000–$165,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Mechanic,Jobot,"Waconia, MN",29 days ago,$28–$30                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Sr. Project Manager- Agriculture/Farming (Hybrid),Jobot,"Waukesha, WI",22 days ago,"$100,000–$150,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Mechanic,"Pape' Machinery, Inc","Madras, OR",25 days ago,Actively Hiring,farming-jobs
2023-08-28,Agriculture Shop Mechanic,"Pape' Machinery, Inc","Medford, OR",20 days ago,Actively Hiring,farming-jobs
2023-08-28,Agriculture Equipment Mechanic,"Pape' Machinery, Inc","Merrill, OR",9 days ago,Actively Hiring,farming-jobs
2023-08-28,Technical Sales Representative - Agriculture,Chemtall/ SNF Holding,"Riceboro, GA",11 days ago,Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Agriculture Applicator,Express Employment Professionals,"GRAND FORKS, ND",11 days ago,Actively Hiring,farming-jobs
2023-08-28,Diesel Technician- Agriculture,Wright Implement Company,"Shelbyville, KY",10 days ago,Actively Hiring,farming-jobs
2023-08-28,Director of Agricultural Operations,Jobot,"Hanford, CA",11 days ago,"$115,000–$165,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Mechanic,Jobot,"Glencoe, MN",29 days ago,$28–$30                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Agriculture Mechanic,"Pape' Machinery, Inc","Medford, OR",20 days ago,Actively Hiring,farming-jobs
2023-08-28,Sr. Project Manager- Agriculture/Farming (Hybrid),Jobot,"Madison, WI",22 days ago,"$100,000–$150,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,"Audit Senior - Oil & Gas, Agriculture, Manufacturing",Jobot,"Houston, TX",2 days ago,"$80,000–$120,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Shop Mechanic,"Pape' Machinery, Inc","Medford, OR",20 days ago,Actively Hiring,farming-jobs
2023-08-28,Technical Sales Representative - Agriculture,Chemtall/ SNF Holding,"Riceboro, GA",11 days ago,Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Agriculture Applicator,Express Employment Professionals,"GRAND FORKS, ND",11 days ago,Actively Hiring,farming-jobs
2023-08-28,Diesel Technician- Agriculture,Wright Implement Company,"Corydon, IN",10 days ago,Actively Hiring,farming-jobs
2023-08-28,Director of Agricultural Operations,Jobot,"Hanford, CA",11 days ago,"$115,000–$165,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Mechanic,Jobot,"Waconia, MN",29 days ago,$28–$30                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Sr. Project Manager- Agriculture/Farming (Hybrid),Jobot,"Waukesha, WI",22 days ago,"$100,000–$150,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Mechanic,"Pape' Machinery, Inc","Madras, OR",25 days ago,Actively Hiring,farming-jobs
2023-08-28,Agriculture Shop Mechanic,"Pape' Machinery, Inc","Medford, OR",20 days ago,Actively Hiring,farming-jobs
2023-08-28,Agriculture Equipment Mechanic,"Pape' Machinery, Inc","Merrill, OR",9 days ago,Actively Hiring,farming-jobs
2023-08-28,Technical Sales Representative - Agriculture,Chemtall/ SNF Holding,"Riceboro, GA",11 days ago,Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Agriculture Applicator,Express Employment Professionals,"GRAND FORKS, ND",11 days ago,Actively Hiring,farming-jobs
2023-08-28,Diesel Technician- Agriculture,Wright Implement Company,"Corydon, IN",10 days ago,Actively Hiring,farming-jobs
2023-08-28,Director of Agricultural Operations,Jobot,"Hanford, CA",11 days ago,"$115,000–$165,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Mechanic,Jobot,"Waconia, MN",29 days ago,$28–$30                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Sr. Project Manager- Agriculture/Farming (Hybrid),Jobot,"Waukesha, WI",22 days ago,"$100,000–$150,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Mechanic,"Pape' Machinery, Inc","Madras, OR",25 days ago,Actively Hiring,farming-jobs
2023-08-28,Agriculture Shop Mechanic,"Pape' Machinery, Inc","Medford, OR",20 days ago,Actively Hiring,farming-jobs
2023-08-28,Agriculture Equipment Mechanic,"Pape' Machinery, Inc","Merrill, OR",9 days ago,Actively Hiring,farming-jobs
2023-08-28,Technical Sales Representative - Agriculture,Chemtall/ SNF Holding,"Riceboro, GA",11 days ago,Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Agriculture Equipment Mechanic,"Pape' Machinery, Inc","Merrill, OR",9 days ago,Actively Hiring,farming-jobs
2023-08-28,Agriculture Applicator,Express Employment Professionals,"GRAND FORKS, ND",11 days ago,Actively Hiring,farming-jobs
2023-08-28,Diesel Technician- Agriculture,Wright Implement Company,"Corydon, IN",10 days ago,Actively Hiring,farming-jobs
2023-08-28,Director of Agricultural Operations,Jobot,"Hanford, CA",11 days ago,"$115,000–$165,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Mechanic,Jobot,"Waconia, MN",29 days ago,$28–$30                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Sr. Project Manager- Agriculture/Farming (Hybrid),Jobot,"Waukesha, WI",22 days ago,"$100,000–$150,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Mechanic,"Pape' Machinery, Inc","Madras, OR",25 days ago,Actively Hiring,farming-jobs
2023-08-28,Agriculture Shop Mechanic,"Pape' Machinery, Inc","Medford, OR",20 days ago,Actively Hiring,farming-jobs
2023-08-28,Technical Sales Representative - Agriculture,Chemtall/ SNF Holding,"Riceboro, GA",11 days ago,Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Agriculture Applicator,Express Employment Professionals,"GRAND FORKS, ND",11 days ago,Actively Hiring,farming-jobs
2023-08-28,Diesel Technician- Agriculture,Wright Implement Company,"Corydon, IN",10 days ago,Actively Hiring,farming-jobs
2023-08-28,Director of Agricultural Operations,Jobot,"Hanford, CA",11 days ago,"$115,000–$165,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Mechanic,Jobot,"Waconia, MN",29 days ago,$28–$30                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Sr. Project Manager- Agriculture/Farming (Hybrid),Jobot,"Waukesha, WI",22 days ago,"$100,000–$150,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Mechanic,"Pape' Machinery, Inc","Madras, OR",25 days ago,Actively Hiring,farming-jobs
2023-08-28,Agriculture Shop Mechanic,"Pape' Machinery, Inc","Medford, OR",20 days ago,Actively Hiring,farming-jobs
2023-08-28,Agriculture Equipment Mechanic,"Pape' Machinery, Inc","Merrill, OR",9 days ago,Actively Hiring,farming-jobs
2023-08-28,Technical Sales Representative - Agriculture,Chemtall/ SNF Holding,"Riceboro, GA",11 days ago,Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Agriculture Applicator,Express Employment Professionals,"GRAND FORKS, ND",11 days ago,Actively Hiring,farming-jobs
2023-08-28,Diesel Technician- Agriculture,Wright Implement Company,"Shelbyville, KY",10 days ago,Actively Hiring,farming-jobs
2023-08-28,Director of Agricultural Operations,Jobot,"Hanford, CA",11 days ago,"$115,000–$165,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Agriculture Mechanic,Jobot,"Glencoe, MN",29 days ago,$28–$30                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring,farming-jobs
2023-08-28,Agriculture Mechanic,"Pape' Machinery, Inc","Medford, OR",20 days ago,Actively Hiring,farming-jobs
2023-08-28,"Audit Senior - Oil & Gas, Agriculture, Manufacturing",Jobot,"Houston, TX",2 days ago,"$80,000–$120,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
2023-08-28,Sr. Project Manager- Agriculture/Farming (Hybrid),Jobot,"Madison, WI",22 days ago,"$100,000–$150,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",farming-jobs
